雲	ウン	くも、-ぐも	き, ずも, のめ	cloud	cloud	VÂN	mây		雲(くも): cloud	2	2	1256	雨: rain<br>云: say	12	雨	173	8	あめ・あめかんむり・あまかんむり	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Nature_Weather kanjifreq1001-1500
岩	ガン	いわ		boulder, rock, cliff	boulder	NHAM	đá tảng, nham thạch		岩(いわ): rock; crag<br>溶岩(ようがん): lava<br>岩石(がんせき): rock	2	2	787	山: mountain<br>石: stone	8	山	46	3	やま・やまへん・やまかんむり	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Nature_Landscape kanjifreq751-1000
星	セイ、ショウ	ほし、-ぼし		star, spot, dot, mark	star	TINH	hành tinh, tinh tú		衛星(えいせい): satellite<br>星(ほし): (1) star; any light-emitting (or reflecting) heavenly body (except for the sun and the moon) (2) suspect (police slang)<br>火星(かせい): Mars (planet)<br>星座(せいざ): constellation<br>惑星(わくせい): planet	2	2	844	日: day; sun; Japan; counter for days<br>生: life; genuine; birth	9	日	72	4	ひ・ひへん・にち・にちへん	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Nature_Sky kanjifreq751-1000
戸	コ	と	え, へ	door	door	HỘ	hộ khẩu		戸(と): (1) door (esp. Japanese-style) (2) entrance (to a home) (3) narrows<br>井戸(いど): water well<br>戸籍(こせき): census; family register<br>雨戸(あまど): sliding storm shutter<br>戸棚(とだな): cupboard; locker; closet; wardrobe<br>戸締まり(とじまり): closing up; fastening the doors<br>瀬戸物(せともの): earthenware; crockery; china	2	2	575	戸: door, house, door radical (no. 63)	4	戸	63	4	と・とだれ・とかんむり	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Counting_Counters Kanji_Structure.Town.Building kanjifreq501-750
寺	ジ	てら		Buddhist temple	Buddhist temple	TỰ	chùa		寺(てら): temple (Buddhist)<br>寺院(じいん): temple<br>寺(じ): counter for temples	2	2	879	土: soil; earth; ground; Turkey<br>寸: measurement; foot/10	6	寸	41	3	すん・すんづくり	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Human.Activities_Religion.Creed kanjifreq751-1000
算	サン	そろ		calculate, divining, number, abacus, probability	calculate	TOÁN	tính toán, kế toán, toán học		予算(よさん): estimate; budget<br>決算(けっさん): balance sheet; settlement of accounts; reporting (of accounts)<br>計算(けいさん): (1) calculation; reckoning; count (2) forecast<br>採算(さいさん): profit<br>換算(かんさん): conversion (e.g. yen to dollars); change; exchange; translation (numerical)<br>算数(さんすう): arithmetic<br>精算(せいさん): exact calculation; squaring of accounts; adjustment<br>足し算(たしざん): addition<br>引き算(ひきざん): subtraction<br>掛け算(かけざん): multiplication<br>算盤(そろばん): abacus<br>割り算(わりざん): division<br>暗算(あんざん): mental arithmetic	2	2	361	竹: bamboo<br>目: eye; class; look; insight; experience; care; favor<br>廾: twenty; 20; twenty or letter H radical (no. 55)	14	竹	118	6	たけ・たけかんむり	(không có)	会意 Hội ý	grade2 JLPT.N2 Kanji_Counting_Handling.amounts kanjifreq251-500
羽	ウ	は、わ、はね	しゅう, ば	feathers, counter for birds, rabbits	feathers	VŨ	lông vũ		羽(はね): (1) feather; plume; wing (2) blade (fan, propeller, etc.)<br>羽(わ): counter for birds and rabbits	2	2	748	羽: feather, wing, feather radical (no. 124)	6	羽	124	6	はね	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Counting_Counters Kanji_Nature_Animal_Parts.of.Body kanjifreq501-750
麦	バク	むぎ		barley, wheat	barley	MẠCH	lúa mạch		小麦(こむぎ): wheat<br>麦酒(ビール): beer<br>蕎麦(そば): (1) buckwheat (Fagopyrum esculentum) (2) soba; Japanese buckwheat noodles	2	2	1615	夂: winter radical (no. 34)	7	麥	199	11	むぎ・むぎへん・ぼく・ばくにょう	麥	会意 Hội ý	grade2 JLPT.N2 Kanji_Food.Drink kanjifreq1501-2000
黄	コウ、オウ	き、こ-	うい, れい	yellow	yellow	HOÀNG	hoàng kim		黄金(こがね): gold<br>黄色(きいろ): yellow; amber<br>黄色い(きいろい): (1) yellow (2) high-pitched (voice); shrill	2	2	1240	黄: yellow, yellow radical (no. 201)	11	黃	201	12	き・きいろ	黃	象形 Tượng hình	grade2 JLPT.N2 Kanji_Physical.Properties_Color kanjifreq1001-1500
公	コウ、ク	おおやけ	あきら, き, きみ, きん, たか, ただし, とも, ひろ, まさ	public, prince, official, governmental	public	CÔNG	công cộng, công thức, công tước		公園(こうえん): (public) park<br>公演(こうえん): (1) public performance (2) sumo exhibition in a foreign country<br>公開(こうかい): open to the public; exhibit<br>公共(こうきょう): public; community; public service; society; communal<br>公式(こうしき): (1) formality; formal; official (2) formula<br>公害(こうがい): pollution; public nuisance; contamination<br>公認(こうにん): official recognition; authorization; authorisation; licence; license; accreditation<br>公表(こうひょう): official announcement; proclamation<br>公務員(こうむいん): government worker; public (civil) servant<br>公立(こうりつ): public (institution)<br>公正(こうせい): justice; fairness; impartiality<br>公団(こうだん): public corporation<br>公平(こうへい): fairness; impartial; justice<br>公務(こうむ): official business; public business<br>公然(こうぜん): open (e.g. secret); public; official; overt<br>公衆(こうしゅう): the public; general public<br>主人公(しゅじんこう): (1) protagonist; main character; hero(ine) (of a story) (2) head of household<br>公募(こうぼ): public appeal (e.g. for contributions); public offering (of securities); public advertisement (of a post)<br>公用(こうよう): (1) government business; official business (2) public; official; governmental<br>公(おおやけ): official; public; formal; open; governmental	2	2	118	八: eight; eight radical (no. 12)<br>厶: I; myself; katakana mu radical (no. 28)	4	八	12	2	はち・は・はちがしら	(không có)	象形 Tượng hình	grade2 JLPT.N2 kanjifreq1-250
倍	バイ		べ, ます	double, twice, times, fold	double	BỘI	bội thu, bội số		倍(ばい): (1) twice; double (2) times; -fold<br>倍率(ばいりつ): (1) magnification; leverage; amplification; scaling factor; scale factor (2) acceptance rate; pass rate (of an exam, etc.)	2	3	714	人: person<br>立: stand up; rise; set up; erect<br>口: mouth	10	人	9	2	ひと・にんべん・ひとやね	(không có)	形声 Hình thanh	grade3 JLPT.N2 Kanji_Counting_Handling.amounts kanjifreq501-750
